,id,name,state
0,5882,GUMPOLDSKIRCHEN,Niederösterreich
1,13401,KAPFENBERG-FLUGFELD,Steiermark
2,2117,HORN -  WASSERWERK,Niederösterreich
3,8807,ACHENKIRCH,Tirol
4,16906,GASCHURN,Vorarlberg
5,20209,KLAGENFURT/HTL1-LASTENSTRASSE,Kärnten
6,1416,ROHRBACH,Oberösterreich
7,7956,ANDAU,Burgenland
8,500,LITSCHAU,Niederösterreich
9,501,LITSCHAU,Niederösterreich
10,504,LITSCHAU,Niederösterreich
11,600,PFAFFENSCHLAG,Niederösterreich
12,610,MEIRES,Niederösterreich
13,700,JAPONS,Niederösterreich
14,710,SCHOENFELD,Niederösterreich
15,726,RAABS/THAYA,Niederösterreich
16,900,RETZ,Niederösterreich
17,901,RETZ,Niederösterreich
18,905,RETZ/WINDMUEHLE,Niederösterreich
19,910,UNTERRETZBACH,Niederösterreich
20,1210,PASSAU-OBERHAUS,Oberösterreich
21,1400,KOLLERSCHLAG,Oberösterreich
22,1410,ROHRBACH,Oberösterreich
23,1415,ROHRBACH,Oberösterreich
24,1600,FREISTADT,Oberösterreich
25,1601,FREISTADT,Oberösterreich
26,1602,FREISTADT,Oberösterreich
27,1700,KARLSTIFT,Niederösterreich
28,1701,KARLSTIFT/STADLBERG,Niederösterreich
29,1710,LIEBENAU,Oberösterreich
30,1800,WEITRA,Niederösterreich
31,1802,WEITRA,Niederösterreich
32,1900,SCHWARZENAU,Niederösterreich
33,1901,SCHWARZENAU,Niederösterreich
34,1903,SCHWARZENAU,Niederösterreich
35,1910,STIFT ZWETTL,Niederösterreich
36,1920,STIFT ZWETTL,Niederösterreich
37,2100,ALTENBURG,Niederösterreich
38,2110,HORN,Niederösterreich
39,2112,MOERTERSDORF,Niederösterreich
40,2113,HORN,Niederösterreich
41,2114,HORN,Niederösterreich
42,2115,GARS/KAMP,Niederösterreich
43,2201,HOLLABRUNN/SCHOENGRABERN NORD,Niederösterreich
44,2203,HOLLABRUNN,Niederösterreich
45,2207,SCHOENGRABERN,Niederösterreich
46,2211,RAVELSBACH,Niederösterreich
47,2230,PILLERSDORF/OEHLBERG,Niederösterreich
48,2300,BERGAU,Niederösterreich
49,2310,WULZESHOFEN,Niederösterreich
50,2400,LAA/THAYA,Niederösterreich
51,2401,LAA/TH.KLAERANLAGE,Niederösterreich
52,2410,OBERLEIS,Niederösterreich
53,2422,MISTELBACH AN DER ZAYA,Niederösterreich
54,2430,MISTELBACH,Niederösterreich
55,2500,POYSDORF,Niederösterreich
56,2502,POYSDORF,Niederösterreich
57,2503,POYSDORF-OST,Niederösterreich
58,2510,WILFERSDORF,Niederösterreich
59,2600,HOHENAU/MARCH,Niederösterreich
60,2601,HOHENAU,Niederösterreich
61,2902,REICHERSBERG,Oberösterreich
62,2910,SCHAERDING,Oberösterreich
63,3110,WAIZENKIRCHEN,Oberösterreich
64,3111,WAIZENKIRCHEN,Oberösterreich
65,3120,ASCHACH,Oberösterreich
66,3200,LINZ/STADT,Oberösterreich
67,3202,LINZ-STADT,Oberösterreich
68,3210,REICHENAU-OOE.,Oberösterreich
69,3215,OBERNEUKIRCHEN,Oberösterreich
70,3252,LINZ-MUSEUMSTR.,Oberösterreich
71,3253,LINZ-URFAHR,Oberösterreich
72,3266,LINZ/PETRIUM,Oberösterreich
73,3267,LINZ/FLUGPLATZ,Oberösterreich
74,3269,LINZ/WIRTSCHAFTSHOF,Oberösterreich
75,3400,ALLERHEILIGEN,Oberösterreich
76,3410,PABNEUKIRCHEN,Oberösterreich
77,3425,BAD ZELL,Oberösterreich
78,3500,KOENIGSWIESEN,Oberösterreich
79,3501,KOENIGSWIESEN,Oberösterreich
80,3510,ZILLECK,Niederösterreich
81,3520,BAERNKOPF,Niederösterreich
82,3600,GUTENBRUNN-MARTINSBERG,Niederösterreich
83,3601,GUTENBRUNN,Niederösterreich
84,3605,MARTINSBERG,Niederösterreich
85,3700,JAUERLING,Niederösterreich
86,3801,KREMS,Niederösterreich
87,4081,LANGENLEBARN,Niederösterreich
88,4120,WIEN-STREBERSDORF,Wien
89,4501,BRAUNAU/RANSHOFEN,Oberösterreich
90,4515,OSTERMIETHING,Oberösterreich
91,4610,MATTIGHOFEN,Oberösterreich
92,4611,MATTIGHOFEN,Oberösterreich
93,4705,RIED IM INNKREIS,Oberösterreich
94,4800,GALLSPACH,Oberösterreich
95,4810,WOLFSEGG,Oberösterreich
96,4815,WOLFSEGG,Oberösterreich
97,4821,VOECKLABRUCK,Oberösterreich
98,4900,LAMBACH,Oberösterreich
99,4905,WELS-SCHLEISSHEIM,Oberösterreich
100,5000,HOERSCHING,Oberösterreich
101,5010,KREMSMUENSTER,Oberösterreich
102,5012,KREMSMUENSTER (TAWES),Oberösterreich
103,5101,ENNS,Oberösterreich
104,5110,STEYR,Oberösterreich
105,5111,STEYR-STADTGUT,Oberösterreich
106,5112,WACHTBERG/STEYR,Niederösterreich
107,5116,WACHTBERG BEI STEYR,Niederösterreich
108,5130,ENNS,Oberösterreich
109,5200,HAAG,Oberösterreich
110,5300,AMSTETTEN-GIESSHUEBL,Niederösterreich
111,5301,AMSTETTEN,Niederösterreich
112,5304,AMSTETTEN/GREINSFURTH,Niederösterreich
113,5310,RANDEGG,Niederösterreich
114,5311,RANDEGG,Niederösterreich
115,5315,AMSTETTEN/KLAERANLAGE,Niederösterreich
116,5316,AMSTETTEN,Niederösterreich
117,5320,YBBS/PERSENBEUG,Niederösterreich
118,5400,MELK,Niederösterreich
119,5410,OBERNDORF/MELK,Niederösterreich
120,5412,OBERNDORF/MELK,Niederösterreich
121,5413,MELK,Niederösterreich
122,5421,WIESELBURG,Niederösterreich
123,5430,PETZENKIRCHEN,Niederösterreich
124,5600,ST.POELTEN/HESSERKASERNE,Niederösterreich
125,5601,ST.POELTEN/VIEHOFEN,Niederösterreich
126,5606,ST.POELTEN/KOPALKASERNE,Niederösterreich
127,5607,ST.POELTEN/WALLSEERER STRASSE,Niederösterreich
128,5609,ST.POELTEN/LANDHAUS,Niederösterreich
129,5610,TRAISEN,Niederösterreich
130,5611,ESCHENAU/TRAISEN,Niederösterreich
131,5620,LILIENFELD,Niederösterreich
132,5625,LILIENFELD-TARSCHBERG,Niederösterreich
133,5650,HAINFELD/KASBERG,Niederösterreich
134,5700,ALTENMARKT/TRIESTING,Niederösterreich
135,5701,KLAUSEN-LEOPOLDSDORF,Niederösterreich
136,5710,ST.CHRISTOPHEN,Niederösterreich
137,5720,KOHLREIT,Niederösterreich
138,5725,KOHLREITHBERG,Niederösterreich
139,5735,BUCHBERG,Niederösterreich
140,5740,GERICHTSBERG/ARABURG,Niederösterreich
141,5802,WIEN-JUBILAEUMSWARTE,Wien
142,5804,WIEN-MARIABRUNN,Wien
143,5805,WIEN-MARIABRUNN,Wien
144,5808,WIEN/SCHOENBRUNN,Wien
145,5855,WIENER NEUDORF,Niederösterreich
146,5904,WIEN-HOHE WARTE,Wien
147,5905,WIEN alte Univ.(Sternw),Wien
148,5917,WIEN/UNTERLAA,Wien
149,5950,HENNERSDORF,Niederösterreich
150,5970,GROSS-ENZERSDORF,Niederösterreich
151,5980,MUENCHENDORF,Niederösterreich
152,5990,SCHWECHAT,Niederösterreich
153,6020,FUCHSENBIGL,Niederösterreich
154,6102,BRUCKNEUDORF,Burgenland
155,6300,SALZBURG-FLUGHAFEN,Salzburg
156,6305,SALZBURG-FREISAAL,Salzburg
157,6400,IRRSDORF,Salzburg
158,6413,MATTSEE,Salzburg
159,6505,SEEWALCHEN,Oberösterreich
160,6507,MONDSEE,Oberösterreich
161,6515,MONDSEE,Oberösterreich
162,6520,THALHAM,Oberösterreich
163,6600,EBENSEE,Oberösterreich
164,6611,FEUERKOGEL,Oberösterreich
165,6619,GMUNDEN,Oberösterreich
166,6621,ALTMUENSTER,Oberösterreich
167,6803,MICHELDORF,Oberösterreich
168,7000,WEYER,Oberösterreich
169,7010,WAIDHOFEN/YBBS,Niederösterreich
170,7011,WAIDHOFEN/YBBS,Niederösterreich
171,7020,LUNZ,Niederösterreich
172,7101,GOESTLING/YBBS,Niederösterreich
173,7110,LUNZ AM SEE,Niederösterreich
174,7125,LASSING,Niederösterreich
175,7200,MARIAZELL,Steiermark
176,7202,MARIAZELL,Steiermark
177,7220,ST.SEBASTIAN/MARIAZELL,Steiermark
178,7221,MARIAZELL/ST.SEBASTIAN-FLUGFELD,Steiermark
179,7300,ANNABERG,Niederösterreich
180,7400,SCHWARZAU/GEBIRGE,Niederösterreich
181,7500,PUCHBERG/SCHNEEBERG,Niederösterreich
182,7502,PUCHBERG,Niederösterreich
183,7530,HOHE WAND/HOCHKOGEL,Niederösterreich
184,7531,HOHE WAND/HOCHKOGELHAUS,Niederösterreich
185,7601,WR.NEUSTADT - FOHLENHOF,Niederösterreich
186,7603,WR.NEUSTADT-FLUGPL.,Niederösterreich
187,7604,WR.NEUSTADT/FLUGPLATZ,Niederösterreich
188,7606,WR.NEUSTADT - REBANLAGE,Niederösterreich
189,7609,WR.NEUSTADT/FLUGPLATZ,Niederösterreich
190,7610,GUTENSTEIN/MARIAHILFBERG,Niederösterreich
191,7641,BERNDORF,Niederösterreich
192,7700,EISENSTADT,Burgenland
193,7701,EISENSTADT,Burgenland
194,7704,EISENSTADT-NORDOST,Burgenland
195,7711,SEIBERSDORF,Niederösterreich
196,7818,ILLMITZ,Burgenland
197,7900,NEUSIEDL AM SEE,Burgenland
198,7901,NEUSIEDL AM SEE,Burgenland
199,7906,NEUSIEDL AM SEE,Burgenland
200,7912,PODERSDORF,Burgenland
201,7955,ANDAU  alt,Burgenland
202,8302,SULZBERG,Vorarlberg
203,8501,VILS,Tirol
204,8900,KREIT,Tirol
205,9001,KIRCHBICHL,Tirol
206,9011,OBERNDORF/EBBS,Tirol
207,9110,KOESSEN,Tirol
208,9201,UNKEN,Salzburg
209,9215,LOFERER ALM,Salzburg
210,9410,HALLEIN,Salzburg
211,9501,ABTENAU,Salzburg
212,9610,BAD ISCHL,Oberösterreich
213,9620,KRIPPENSTEIN,Oberösterreich
214,9801,AIGEN/ENNSTAL,Steiermark
215,9820,RADING,Oberösterreich
216,9902,ADMONT-KAISERAU,Steiermark
217,9906,ADMONT/STIFT,Steiermark
218,10000,HIEFLAU,Steiermark
219,10002,HIEFLAU,Steiermark
220,10005,MOOSLANDL,Steiermark
221,10010,JOHNSBACH,Steiermark
222,10100,EISENERZ,Steiermark
223,10101,EISENERZ,Steiermark
224,10111,PRAEBICHL,Steiermark
225,10300,KINDBERG,Steiermark
226,10400,MUERZZUSCHLAG,Steiermark
227,10412,RAX/SEILBAHNBERGSTATION,Niederösterreich
228,10415,SEMMERING,Niederösterreich
229,10416,SEMMERING/SUEDBAHN-HOTEL,Niederösterreich
230,10417,SEMMERING/PANHANS,Niederösterreich
231,10500,MOENICHKIRCHEN,Niederösterreich
232,10502,MOENICHKIRCHEN,Niederösterreich
233,10505,SEMMERING-MARIA SCHUTZ,Niederösterreich
234,10508,BREITENSTEIN,Niederösterreich
235,10510,REICHENAU/RAX,Niederösterreich
236,10530,POTTSCHACH,Niederösterreich
237,10531,POTTSCHACH,Niederösterreich
238,10550,HIRSCHENKOGEL,Niederösterreich
239,10600,ASPANG,Niederösterreich
240,10601,WIESMATH,Niederösterreich
241,10603,ASPANG,Niederösterreich
242,10607,ASPANG,Niederösterreich
243,10701,OBERPULLENDORF,Burgenland
244,10710,MATTERSBURG,Burgenland
245,10800,DEUTSCHKREUTZ,Burgenland
246,11100,BREGENZ,Vorarlberg
247,11102,BREGENZ,Vorarlberg
248,11104,BREGENZ,Vorarlberg
249,11105,FRAXERN,Vorarlberg
250,11106,FRAXERN,Vorarlberg
251,11108,FUSSACH,Vorarlberg
252,11110,FELDKIRCH,Vorarlberg
253,11112,DORNBIRN,Vorarlberg
254,11115,FELDKIRCH,Vorarlberg
255,11120,HOHENEMS,Vorarlberg
256,11130,VIKTORSBERG,Vorarlberg
257,11135,ALBERSCHWENDE,Vorarlberg
258,11146,ROHRSPITZ,Vorarlberg
259,11200,SCHOPPERNAU,Vorarlberg
260,11201,HITTISAU,Vorarlberg
261,11203,SCHOPPERNAU,Vorarlberg
262,11205,HITTISAU,Vorarlberg
263,11300,SCHROECKEN,Vorarlberg
264,11301,SCHROECKEN,Vorarlberg
265,11305,WARTH,Vorarlberg
266,11306,WARTH,Vorarlberg
267,11310,MITTELBERG/WALSERTAL,Vorarlberg
268,11311,MITTELBERG,Vorarlberg
269,11400,HOLZGAU,Tirol
270,11401,HOLZGAU,Tirol
271,11402,HOLZGAU,Tirol
272,11410,TANNHEIM,Tirol
273,11500,REUTTE,Tirol
274,11505,REUTTE,Tirol
275,11506,REUTTE,Tirol
276,11600,EHRWALD,Tirol
277,11601,EHRWALD,Tirol
278,11602,EHRWALD,Tirol
279,11603,EHRWALD,Tirol
280,11700,SEEFELD,Tirol
281,11705,SEEFELD,Tirol
282,11706,SEEFELD,Tirol
283,11800,INNSBRUCK-FLUGPLATZ,Tirol
284,11801,INNSBRUCK-UNIV.,Tirol
285,11803,INNSBRUCK-UNIV.,Tirol
286,11804,INNSBRUCK-FLUGPLATZ,Tirol
287,11810,HAFELEKAR,Tirol
288,11900,JENBACH,Tirol
289,11901,JENBACH,Tirol
290,11902,ROTHOLZ,Tirol
291,11903,JENBACH,Tirol
292,11910,PERTISAU,Tirol
293,12000,RATTENBERG/RADFELD,Tirol
294,12010,RATTENBERG/RADFELD,Tirol
295,12015,ALPBACH,Tirol
296,12016,ALPBACH,Tirol
297,12020,KALTENBACH,Tirol
298,12200,KITZBUEHEL,Tirol
299,12201,KITZBUEHEL,Tirol
300,12202,KITZBUEHEL,Tirol
301,12203,KITZBUEHEL,Tirol
302,12205,KITZBUEHLER HORN,Tirol
303,12206,KITZBUEHEL,Tirol
304,12207,KITZBUEHEL,Tirol
305,12210,HAHNENKAMM,Tirol
306,12212,HAHNENKAMM-EHRENBACHHOEHE,Tirol
307,12215,HAHNENKAMM-EHRENBACHHOEHE,Tirol
308,12220,UTTENDORF,Salzburg
309,12300,SAALBACH,Salzburg
310,12301,SAALBACH,Salzburg
311,12302,SAALBACH,Salzburg
312,12311,SCHMITTENHOEHE,Salzburg
313,12321,SONNENALM,Salzburg
314,12350,HOCHFILZEN,Tirol
315,12410,SAALFELDEN,Salzburg
316,12501,BISCHOFSHOFEN,Salzburg
317,12510,SCHWARZACH,Salzburg
318,12609,RADSTADT,Salzburg
319,12620,WAGRAIN,Salzburg
320,12805,ST.NIKOLAI,Steiermark
321,13010,PUSTERWALD,Steiermark
322,13110,SECKAU,Steiermark
323,13250,ST.MICHAEL B. LEOBEN,Steiermark
324,13300,BRUCK/MUR,Steiermark
325,13305,KAPFENBERG,Steiermark
326,13308,FROHNLEITEN,Steiermark
327,13701,BERNSTEIN,Burgenland
328,13805,HIRSCHENSTEIN,Burgenland
329,13906,LUTZMANNSBURG,Burgenland
330,14104,BLUDENZ,Vorarlberg
331,14106,BLUDENZ,Vorarlberg
332,14110,LAZ,Vorarlberg
333,14111,MUTTERSBERG-MADEISA,Vorarlberg
334,14130,MUTTERSBERG,Vorarlberg
335,14200,VANDANS,Vorarlberg
336,14300,ST.ANTON AM ARLBERG,Tirol
337,14303,ST.ANTON AM ARLBERG,Tirol
338,14310,LANGEN AM ARLBERG,Vorarlberg
339,14400,LANDECK,Tirol
340,14500,HOCHSERFAUS,Tirol
341,14512,IMST,Tirol
342,14515,RIED IN TIROL,Tirol
343,14602,HAIMING,Tirol
344,14610,KUEHTAI,Tirol
345,14621,ST.LEONHARD-NEURUR,Tirol
346,14631,UMHAUSEN,Tirol
347,14801,BRENNER,Tirol
348,14807,PATSCHERKOFEL,Tirol
349,14812,PATSCHERKOFEL,Tirol
350,14822,RINN,Tirol
351,14825,SCHMIRN,Tirol
352,15000,MAYRHOFEN,Tirol
353,15001,MAYRHOFEN,Tirol
354,15100,KRIMML,Salzburg
355,15320,RUDOLFSHUETTE,Salzburg
356,15330,SCHNEIDERAU,Salzburg
357,15340,KALS,Tirol
358,15343,KALS,Tirol
359,15401,RAURIS,Salzburg
360,15410,SONNBLICK,Salzburg
361,15430,KOLM SAIGURN,Salzburg
362,15500,BAD GASTEIN,Salzburg
363,15505,BAD HOFGASTEIN,Salzburg
364,15610,OBERTAUERN,Salzburg
365,15701,ST.MICHAEL/LUNGAU,Salzburg
366,15707,TAMSWEG,Salzburg
367,15710,TAMSWEG,Salzburg
368,15715,KATSCHBERG,Kärnten
369,15900,OBERWOELZ,Steiermark
370,15906,KRAKAUEBENE/TERRASSE,Steiermark
371,15911,STOLZALPE,Steiermark
372,16001,NEUMARKT,Steiermark
373,16009,ZIRBITZKOGEL,Steiermark
374,16015,NEUMARKT,Steiermark
375,16300,LOBMING,Steiermark
376,16400,GRAZ-FLUGHAFEN,Steiermark
377,16401,GRAZ-MESSENDORFBERG,Steiermark
378,16402,GRAZ-UNIVERSITAET,Steiermark
379,16412,GRAZ-UNIVERSITAET,Steiermark
380,16413,GRAZ/STRASSGANG,Steiermark
381,16420,SCHOECKL,Steiermark
382,16421,SCHOECKL,Steiermark
383,16440,SEMRIACH,Steiermark
384,16500,GLEISDORF,Steiermark
385,16501,GLEISDORF,Steiermark
386,16520,WEIZ,Steiermark
387,16521,WEIZ,Steiermark
388,16600,FUERSTENFELD,Steiermark
389,16601,FUERSTENFELD,Steiermark
390,16700,GUESSING,Burgenland
391,16701,GERERSDORF B.GUESSING,Burgenland
392,16702,GUESSING,Burgenland
393,16710,WOERTERBERG,Burgenland
394,16711,WOERTERBERG,Burgenland
395,16800,KLEINZICKEN,Burgenland
396,16802,KLEINZICKEN,Burgenland
397,16900,OBERVERMUNT,Vorarlberg
398,16910,PARTENEN,Vorarlberg
399,16920,GARGELLEN,Vorarlberg
400,17001,GALTUER,Tirol
401,17002,GALTUER,Tirol
402,17003,GALTUER,Tirol
403,17006,ISCHGL-IDALPE,Tirol
404,17100,NAUDERS,Tirol
405,17101,NAUDERS,Tirol
406,17102,NAUDERS,Tirol
407,17300,OBERGURGL,Tirol
408,17301,OBERGURGL,Tirol
409,17305,VENT,Tirol
410,17310,PITZTALER GLETSCHER,Tirol
411,17315,PITZTALER GLETSCHER,Tirol
412,17320,BRUNNENKOGEL,Tirol
413,17700,ST.JAKOB/DEF.,Tirol
414,17701,ST.JAKOB/DEF.,Tirol
415,17900,LIENZ,Tirol
416,17901,LIENZ,Tirol
417,18000,DOELLACH-SAGRITZ,Kärnten
418,18001,DOELLACH,Kärnten
419,18002,DOELLACH/MOELLTAL,Kärnten
420,18010,ISELSBERG,Kärnten
421,18100,KOLBNITZ,Kärnten
422,18120,OBERVELLACH,Kärnten
423,18122,OBERVELLACH,Kärnten
424,18200,LITZLHOF,Kärnten
425,18300,RADENTHEIN,Kärnten
426,18402,FLATTNITZ,Kärnten
427,18501,WEITENSFELD,Kärnten
428,18600,FRIESACH,Kärnten
429,18610,SILBEREGG,Kärnten
430,18621,ST.VEIT/GLAN,Kärnten
431,18800,PREITENEGG,Kärnten
432,18813,WOLFSBERG-REDING,Kärnten
433,18905,DEUTSCHLANDSBERG,Steiermark
434,19204,BAD GLEICHENBERG,Steiermark
435,19205,FELDBACH,Steiermark
436,19501,SILLIAN,Tirol
437,19715,VORHEGG,Kärnten
438,19730,LAAS,Kärnten
439,19731,LAAS,Kärnten
440,19800,REISACH,Kärnten
441,19830,NASSFELD,Kärnten
442,19911,HERMAGOR,Kärnten
443,20000,BAD BLEIBERG,Kärnten
444,20001,BAD BLEIBERG,Kärnten
445,20002,BAD BLEIBERG,Kärnten
446,20005,KREUTH,Kärnten
447,20020,VILLACHER ALPE,Kärnten
448,20021,VILLACHER ALPE,Kärnten
449,20100,KANZELHOEHE,Kärnten
450,20101,KANZELHOEHE,Kärnten
451,20102,KANZELHOEHE,Kärnten
452,20105,ARRIACH,Kärnten
453,20110,VELDEN,Kärnten
454,20117,VILLACH/PERAU,Kärnten
455,20118,VILLACH/SEEBACH,Kärnten
456,20119,VILLACH/MARIA GAIL,Kärnten
457,20121,VILLACH/SEEBACH,Kärnten
458,20122,VILLACH,Kärnten
459,20200,FERLACH,Kärnten
460,20201,FERLACH,Kärnten
461,20202,FERLACH,Kärnten
462,20204,KLAGENFURT/FLIEGERHORST,Kärnten
463,20205,KLAGENFURT/ST.MARTIN,Kärnten
464,20210,KLAGENFURT-FLUGPLATZ,Kärnten
465,20211,KLAGENFURT-FLUGHAFEN,Kärnten
466,20212,KLAGENFURT-FLUGHAFEN,Kärnten
467,20230,RUPERTIBERG,Kärnten
468,20240,FEISTRITZ/ROSENTAL,Kärnten
469,20270,FELDKIRCHEN,Kärnten
470,20300,HOEHENBERGEN-TAINACH,Kärnten
471,20305,HOERZENDORF/ST.VEIT,Kärnten
472,20330,HOCHOBIR,Kärnten
473,20400,ST.MICHAEL/BLEIBURG,Kärnten
474,20401,FEISTRITZ ob BLEIBURG,Kärnten
